"Technology stocks a safe haven at present: Nilesh Shah, Envision Capital",https://www.moneycontrol.com/news/market-outlook/technology-stockssafe-haven-at-present-nilesh-shah-envision-capital_13537801.html,28 Feb 2020,3.27 pm
Infosys allots 2.23 lakh equity shares under 2015 Stock Incentive Compensation Plan,https://www.moneycontrol.com/news/business/infosys-allots-223-lakh-equity-shares-under-2015-stock-incentive-compensation-plan_13536201.html,28 Feb 2020,8.28 am
Infosys grants stock incentives worth Rs 3.25cr to CEO Salil Parekh,https://www.moneycontrol.com/news/business/infosys-grants-stock-incentives-worth-rs-325cr-to-ceo-salil-parekh_13532041.html,27 Feb 2020,8.20 am
IT stocks gain strength as rupee hits 7-week low,https://www.moneycontrol.com/news/buzzing-stocks/it-stocks-gain-strength-as-rupee-hits-7-week-low_13522141.html,24 Feb 2020,12.02 pm
Infosys inks deal with GE Appliances,https://www.moneycontrol.com/news/business/infosys-inks-dealge-appliances_13509381.html,18 Feb 2020,10.20 pm
Infosys to spend $250mn to acquire Simplus,https://www.moneycontrol.com/news/business/infosys-to-spend-36250mn-to-acquire-simplus_13481321.html,12 Feb 2020,8.37 am
"SEBI bets big on tech; shortlists IBM India, Infy, Wipro, others for data analytics project",https://www.moneycontrol.com/news/business/sebi-bets-bigtech-shortlists-ibm-india-infy-wipro-others-for-data-analytics-project_13479681.html,10 Feb 2020,6.25 pm
"Market Headstart: Nifty likely to head towards 12,200; Lupin, Hero Moto earnings in focus",https://www.moneycontrol.com/news/market-edge/market-headstart-nifty-likely-to-head-towards-12200-lupin-hero-moto-earningsfocus_13468561.html,07 Feb 2020,8.23 am
Share issuance on conversion of restricted stock options allowed: SEBI,https://www.moneycontrol.com/news/business/share-issuanceconversionrestricted-stock-options-allowed-sebi_13454941.html,04 Feb 2020,7.30 pm
Infosys to give fresh digital experiences to Australian Open fans,https://www.moneycontrol.com/news/business/infosys-to-give-fresh-digital-experiences-to-australian-open-fans_13437021.html,31 Jan 2020,3.33 pm
